2025-09-03 18:19:08.050 | INFO     | python_scraper:extract_lottery_data:572 - 第1页成功提取 1 条数据
2025-09-03 18:19:08.052 | INFO     | python_scraper:scrape_latest_single_record:1053 - 成功抓取最新数据: 期号=114049870
2025-09-03 18:19:08.104 | INFO     | python_scraper:connect_mongodb:1102 - 成功连接到MongoDB数据库: taiwan_pk10
2025-09-03 18:19:08.111 | INFO     | python_scraper:save_to_mongodb:1151 - 成功保存 1 条数据到MongoDB
2025-09-03 18:19:08.115 | INFO     | python_scraper:save_to_mongodb:1163 - 格式化数据已保存，共 1 条记录
2025-09-03 18:19:08.118 | INFO     | python_scraper:scrape_latest_single_record:1069 - 最新数据已保存到MongoDB数据库
2025-09-03 18:19:08.223 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:19:08.231 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:20:08.236 | INFO     | python_scraper:scrape_latest_single_record:1025 - 开始抓取最新一期台湾PK10数据
2025-09-03 18:20:09.853 | INFO     | python_scraper:setup_driver:86 - Chrome浏览器驱动设置完成
2025-09-03 18:20:09.869 | INFO     | python_scraper:navigate_to_page:95 - 正在访问: https://xn--kpro5poukl1g.com/#/
2025-09-03 18:20:21.258 | INFO     | python_scraper:navigate_to_page:102 - 页面加载完成
2025-09-03 18:20:21.304 | INFO     | python_scraper:click_pk10_option:148 - 找到台湾PK10选项: 台湾PK10
2025-09-03 18:20:23.355 | INFO     | python_scraper:click_pk10_option:152 - 成功点击台湾PK10选项
2025-09-03 18:20:23.358 | INFO     | python_scraper:navigate_to_page:106 - 成功切换到台湾PK10数据
2025-09-03 18:20:26.375 | INFO     | python_scraper:extract_lottery_data:484 - 第1页找到 3 个表格
2025-09-03 18:20:26.420 | INFO     | python_scraper:extract_lottery_data:498 - 第1页选择表格 2，包含 50 行
2025-09-03 18:20:26.436 | INFO     | python_scraper:extract_lottery_data:510 - 第1页找到 50 行数据
2025-09-03 18:20:26.469 | INFO     | python_scraper:extract_lottery_data:524 - 第1页第一行包含有效数据，从第一行开始读取
2025-09-03 18:20:26.515 | INFO     | python_scraper:extract_lottery_data:534 - 第1页已达到最大记录数限制: 1
2025-09-03 18:20:26.516 | INFO     | python_scraper:extract_lottery_data:572 - 第1页成功提取 1 条数据
2025-09-03 18:20:26.517 | INFO     | python_scraper:scrape_latest_single_record:1053 - 成功抓取最新数据: 期号=114049870
2025-09-03 18:20:26.525 | INFO     | python_scraper:connect_mongodb:1102 - 成功连接到MongoDB数据库: taiwan_pk10
2025-09-03 18:20:26.533 | INFO     | python_scraper:save_to_mongodb:1151 - 成功保存 1 条数据到MongoDB
2025-09-03 18:20:26.538 | INFO     | python_scraper:save_to_mongodb:1163 - 格式化数据已保存，共 1 条记录
2025-09-03 18:20:26.541 | INFO     | python_scraper:scrape_latest_single_record:1069 - 最新数据已保存到MongoDB数据库
2025-09-03 18:20:26.636 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:20:26.643 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:21:26.652 | INFO     | python_scraper:scrape_latest_single_record:1025 - 开始抓取最新一期台湾PK10数据
2025-09-03 18:21:27.947 | INFO     | python_scraper:setup_driver:86 - Chrome浏览器驱动设置完成
2025-09-03 18:21:27.951 | INFO     | python_scraper:navigate_to_page:95 - 正在访问: https://xn--kpro5poukl1g.com/#/
2025-09-03 18:22:08.868 | INFO     | python_scraper:navigate_to_page:102 - 页面加载完成
2025-09-03 18:22:08.925 | INFO     | python_scraper:click_pk10_option:148 - 找到台湾PK10选项: 台湾PK10
2025-09-03 18:22:11.000 | INFO     | python_scraper:click_pk10_option:152 - 成功点击台湾PK10选项
2025-09-03 18:22:11.002 | INFO     | python_scraper:navigate_to_page:106 - 成功切换到台湾PK10数据
2025-09-03 18:22:14.020 | INFO     | python_scraper:extract_lottery_data:484 - 第1页找到 3 个表格
2025-09-03 18:22:14.064 | INFO     | python_scraper:extract_lottery_data:498 - 第1页选择表格 2，包含 50 行
2025-09-03 18:22:14.113 | INFO     | python_scraper:extract_lottery_data:510 - 第1页找到 50 行数据
2025-09-03 18:22:14.168 | INFO     | python_scraper:extract_lottery_data:524 - 第1页第一行包含有效数据，从第一行开始读取
2025-09-03 18:22:14.252 | INFO     | python_scraper:extract_lottery_data:534 - 第1页已达到最大记录数限制: 1
2025-09-03 18:22:14.257 | INFO     | python_scraper:extract_lottery_data:572 - 第1页成功提取 1 条数据
2025-09-03 18:22:14.264 | INFO     | python_scraper:scrape_latest_single_record:1053 - 成功抓取最新数据: 期号=114049871
2025-09-03 18:22:14.277 | INFO     | python_scraper:connect_mongodb:1102 - 成功连接到MongoDB数据库: taiwan_pk10
2025-09-03 18:22:14.289 | INFO     | python_scraper:save_to_mongodb:1151 - 成功保存 1 条数据到MongoDB
2025-09-03 18:22:14.294 | INFO     | python_scraper:save_to_mongodb:1163 - 格式化数据已保存，共 1 条记录
2025-09-03 18:22:14.299 | INFO     | python_scraper:scrape_latest_single_record:1069 - 最新数据已保存到MongoDB数据库
2025-09-03 18:22:14.443 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:22:14.458 | INFO     | python_scraper:cleanup:1087 - 浏览器驱动已关闭
2025-09-03 18:22:19.467 | INFO     | python_scraper:scrape_latest_single_record:1025 - 开始抓取最新一期台湾PK10数据
2025-09-03 18:22:21.187 | INFO     | python_scraper:setup_driver:86 - Chrome浏览器驱动设置完成
2025-09-03 18:22:21.191 | INFO     | python_scraper:navigate_to_page:95 - 正在访问: https://xn--kpro5poukl1g.com/#/
2025-09-03 18:22:31.307 | INFO     | python_scraper:navigate_to_page:102 - 页面加载完成
2025-09-03 18:22:31.380 | INFO     | python_scraper:click_pk10_option:148 - 找到台湾PK10选项: 台湾PK10
2025-09-03 18:22:33.457 | INFO     | python_scraper:click_pk10_option:152 - 成功点击台湾PK10选项
2025-09-03 18:22:33.459 | INFO     | python_scraper:navigate_to_page:106 - 成功切换到台湾PK10数据
2025-09-03 18:22:36.478 | INFO     | python_scraper:extract_lottery_data:484 - 第1页找到 3 个表格
2025-09-03 18:22:36.543 | INFO     | python_scraper:extract_lottery_data:498 - 第1页选择表格 2，包含 50 行
2025-09-03 18:22:36.570 | INFO     | python_scraper:extract_lottery_data:510 - 第1页找到 50 行数据
